!CSV A.01.01,,,,,,,,,,,,
!Ceyear Technologies,3672E,ZFL00040,2.1.5,,,,,,,,,
!Date:,2022/6/12 12:11,,,,,,,,,,,
!Source:,GCA Sweep Data,,,,,,,,,,,
,,,,,,,,,,,,
Calibration State:,ON,,,,,,,,,,,
Num Freq Points: ,101,,,,,,,,,,,
Num Iterations: ,30,,,,,,,,,,,
,,,,,,,,,,,,
Frequncy,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
2.00E+09,-0.095366,-18.296985,-10.378778,-122.698459,4.173073,42.657874,14.826614,165.554401,-0.274763,-0.198068,0,0
2.00E+09,-0.095366,-18.296985,-9.871502,-122.221557,4.645381,43.118225,14.826614,165.554401,-0.309731,-0.214619,0,0
2.00E+09,-0.095366,-18.296985,-9.362414,-121.675144,5.132022,43.651512,14.826614,165.554401,-0.332179,-0.227746,0,0
2.00E+09,-0.095366,-18.296985,-8.853709,-121.080399,5.575672,44.226041,14.826614,165.554401,-0.397233,-0.247961,0,0
2.00E+09,-0.095366,-18.296985,-8.343059,-120.494485,6.042482,44.788665,14.826614,165.554401,-0.441073,-0.271251,0,0
2.00E+09,-0.095366,-18.296985,-7.832264,-119.852745,6.512008,45.412117,14.826614,165.554401,-0.482342,-0.289539,0,0
2.00E+09,-0.095366,-18.296985,-7.319745,-119.230504,6.949846,46.016007,14.826614,165.554401,-0.557023,-0.30789,0,0
2.00E+09,-0.095366,-18.296985,-6.805913,-118.627217,7.393084,46.604311,14.826614,165.554401,-0.627618,-0.322874,0,0
2.00E+09,-0.095366,-18.296985,-6.29175,-117.986487,7.844973,47.235809,14.826614,165.554401,-0.689892,-0.332104,0,0
2.00E+09,-0.095366,-18.296985,-5.776244,-117.311543,8.255738,47.905539,14.826614,165.554401,-0.794633,-0.337319,0,0
2.00E+09,-0.095366,-18.296985,-5.260932,-116.676514,8.67311,48.528197,14.826614,165.554401,-0.892572,-0.34969,0,0
2.00E+09,-0.095366,-18.296985,-4.744909,-116.040379,9.083625,49.165498,14.826614,165.554401,-0.99808,-0.348524,0,0
2.00E+09,-0.095366,-18.296985,-4.227852,-115.373712,9.456459,49.854017,14.826614,165.554401,-1.142303,-0.326672,0,0
2.00E+09,-0.095366,-18.296985,-3.709894,-114.766832,9.828951,50.472648,14.826614,165.554401,-1.287769,-0.314921,0,0
2.00E+09,-0.095366,-18.296985,-3.191365,-114.105011,10.18432,51.149998,14.826614,165.554401,-1.450929,-0.299392,0,0
2.00E+09,-0.095366,-18.296985,-2.673004,-113.469755,10.504317,51.820229,14.826614,165.554401,-1.649293,-0.264417,0,0
2.00E+09,-0.095366,-18.296985,-2.154202,-112.849176,10.808553,52.472705,14.826614,165.554401,-1.86386,-0.23252,0,0
2.00E+09,-0.095366,-18.296985,-1.635219,-112.189102,11.107531,53.185645,14.826614,165.554401,-2.083865,-0.179654,0,0
2.00E+09,-0.095366,-18.296985,-1.117661,-111.533709,11.358194,53.882975,14.826614,165.554401,-2.350759,-0.137717,0,0
2.00E+09,-0.095366,-18.296985,-0.59971,-110.899675,11.592743,54.579945,14.826614,165.554401,-2.634161,-0.074781,0,0
2.00E+09,-0.095366,-18.296985,-0.083,-110.244262,11.804115,55.288,14.826614,165.554401,-2.939499,-0.022139,0,0
2.00E+09,-0.095366,-18.296985,0.432895,-109.608112,11.977386,55.96981,14.826614,165.554401,-3.282123,0.023521,0,0
2.00E+09,-0.095366,-18.296985,0.947724,-109.022573,12.128863,56.595308,14.826614,165.554401,-3.645475,0.06348,0,0
2.00E+09,-0.095366,-18.296985,1.462402,-108.431194,12.265632,57.230387,14.826614,165.554401,-4.023385,0.107181,0,0
2.00E+09,-0.095366,-18.296985,1.974862,-107.859895,12.374599,57.818195,14.826614,165.554401,-4.426877,0.12369,0,0
2.00E+09,-0.095366,-18.296985,2.486257,-107.27865,12.468384,58.428266,14.826614,165.554401,-4.844488,0.152515,0,0
2.00E+09,-0.095366,-18.296985,2.994158,-106.599936,12.556076,59.128888,14.826614,165.554401,-5.264696,0.174422,0,0
2.00E+09,-0.095366,-18.296985,3.502071,-105.648643,12.622677,60.090962,14.826614,165.554401,-5.706008,0.185204,0,0
2.00E+09,-0.095366,-18.296985,4.008031,-104.33795,12.68385,61.412373,14.826614,165.554401,-6.150795,0.195922,0,0
2.00E+09,-0.095366,-18.296985,4.512206,-103.239647,12.736097,62.51723,14.826614,165.554401,-6.602723,0.202477,0,0
2.04E+09,-0.082174,-18.714928,-10.09305,-126.129618,4.49363,38.850587,14.835565,165.183355,-0.248884,-0.20315,0,0
2.04E+09,-0.082174,-18.714928,-9.58748,-125.684079,4.986315,39.287615,14.835565,165.183355,-0.261769,-0.211661,0,0
2.04E+09,-0.082174,-18.714928,-9.078489,-125.151849,5.438567,39.795297,14.835565,165.183355,-0.318509,-0.236209,0,0
2.04E+09,-0.082174,-18.714928,-8.568585,-124.646807,5.912356,40.284131,14.835565,165.183355,-0.354623,-0.252416,0,0
2.04E+09,-0.082174,-18.714928,-8.058217,-124.144861,6.399022,40.758798,14.835565,165.183355,-0.378326,-0.279696,0,0
2.04E+09,-0.082174,-18.714928,-7.547741,-123.637437,6.838664,41.249452,14.835565,165.183355,-0.44916,-0.296466,0,0
2.04E+09,-0.082174,-18.714928,-7.035049,-123.152517,7.298731,41.719233,14.835565,165.183355,-0.501785,-0.311604,0,0
